Timestamp,How much experience do you have with the following? [R],How much experience do you have with the following? [RStudio],"How much experience do you have with the following? [Tidyverse (e.g., tidyr, dplyr, readr)]",How much experience do you have with the following? [ggplot2],How much experience do you have with the following? [RShiny],How much experience do you have with the following? [graphics/visualizations in base R],"How much experience do you have with the following? [graphic design software (e.g., Adobe Illustrator, Inkscape)]",What interested you most about taking this course?,How frequently do you use R?
8/4/17 7:11,A little,A little,None,A little,A little,None,None,Both,Weekly
8/4/17 7:47,A little,A little,None,A little,None,A little,None,Both,Daily
8/4/17 9:38,None,A little,None,None,None,None,Some,Gaining skills with visualization,Less than once a year
8/4/17 9:47,None,None,None,A little,None,None,A little,Gaining skills with visualization,Less than once a year
8/4/17 10:18,A little,None,None,None,None,None,A little,Both,Less than once a year
8/4/17 11:07,Some,Some,None,Some,None,A little,A lot,Both,Weekly
8/4/17 11:12,Some,Some,None,None,None,A little,None,Gaining skills with visualization,Semi-Annually
8/4/17 11:38,Some,A little,None,A little,None,A little,A little,Both,Weekly
8/4/17 11:57,A little,A little,None,None,None,None,A little,Both,Less than once a year
8/4/17 12:04,A little,A little,A little,A little,None,None,None,Both,Semi-Annually
8/4/17 12:45,A lot,A lot,Some,Some,None,Some,None,Gaining skills with visualization,Daily
8/4/17 14:39,Some,None,None,None,A little,A little,None,Gaining skills with R,Semi-Annually
8/4/17 15:01,A little,A little,None,None,None,None,A little,Both,Less than once a year
8/4/17 15:49,Some,None,None,A little,None,A little,A lot,Both,Monthly
8/4/17 20:58,A lot,A lot,None,Some,None,Some,None,Both,Weekly
8/5/17 9:53,None,None,None,None,None,None,None,Gaining skills with visualization,
8/5/17 18:34,A little,A little,None,None,None,None,None,Gaining skills with R,Semi-Annually
8/6/17 16:09,None,None,None,None,None,None,A lot,Both,Less than once a year
8/6/17 17:53,Some,None,None,Some,None,Some,A little,Both,Less than once a year
8/6/17 23:32,Some,A little,None,Some,A little,A little,None,Both,Monthly
8/9/17 8:35,A little,A little,A little,None,None,None,A little,Both,Less than once a year
8/9/17 9:16,None,None,None,A little,None,None,None,Both,Less than once a year
8/9/17 16:07,None,A little,None,None,None,None,None,Gaining skills with R,
8/9/17 16:49,Some,A lot,None,Some,None,Some,None,Both,Monthly
